Title,Authors,Institutes,Submission Date
Florence-2: Advancing a Unified Representation for a Variety of Vision Tasks,"['Bin Xiao', 'Haiping Wu', 'Weijian Xu', 'Xiyang Dai', 'Houdong Hu', 'Yumao Lu', 'Michael Zeng', 'Ce Liu', 'Lu Yuan']","['Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft']",November 2023
Florence-2: Advancing a Unified Representation for a Variety of Vision Tasks,"['Bin Xiao', 'Haiping Wu', 'Weijian Xu', 'Xiyang Dai', 'Houdong Hu', 'Yumao Lu', 'Michael Zeng', 'Ce Liu', 'Lu Yuan']","['Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft']",November 2023
Unsupervised Template-assisted Point Cloud Shape Correspondence Network,"['Jiacheng Deng', 'Jiahao Lu', 'Tianzhu Zhang']","['University of Science and Technology of China', 'University of Science and Technology of China', 'University of Science and Technology of China']",March 2024
X-3D: Explicit 3D Structure Modeling for Point Cloud Recognition,"['Shuofeng Sun', 'Yongming Rao', 'Jiwen Lu', 'Haibin Yan']","['Beijing University of Posts and Telecommunications', 'Tsinghua University', 'Tsinghua University', 'Beijing University of Posts and Telecommunications']",April 2024
Spectral and Polarization Vision: Spectro-polarimetric Real-world Dataset,"['Yujin Jeon', 'Eunsue Choi', 'Youngchan Kim', 'Yunseong Moon', 'Khalid Omer', 'Felix Heide', 'Seung-Hwan Baek']","['Pohang University of Science and Technology', 'Pohang University of Science and Technology', 'Pohang University of Science and Technology', 'Pohang University of Science and Technology', 'Meta Reality Labs', 'Department of Computer Science, Princeton University', 'POSTECH']","29 November, 2023"
Efficient Model Stealing Defense with Noise Transition Matrix,"['Dong-Dong Wu', 'Chilin Fu', 'Weichang Wu', 'Wenwen Xia', 'Xiaolu Zhang', 'JUN ZHOU', 'Min-Ling Zhang']","['Southeast University', 'Ant Group', 'Alibaba Group', 'Shanghai Jiaotong University', None, 'Ant Group', 'Southeast University']",Not Found
HOIAnimator: Generating Text-prompt Human-object Animations using Novel Perceptive Diffusion Models,"['Wenfeng Song', 'Xinyu Zhang', 'Shuai Li', 'Yang Gao', 'Aimin Hao', 'Xia HOU', 'Chenglizhao Chen', 'Ning Li', 'Hong Qin']","['Beijing Information Science and Technology University', 'Beijing Information Science and Technology University', 'Beijing University of Aeronautics and Astronautics', 'Beijing University of Aeronautics and Astronautics', None, 'Beijing Information Science & Technology University', 'China University of Petroleum', 'Beijing Information Science and Technology University', 'Stony Brook University (State University of New York at Stony Brook)']",Not Found
InstructVideo: Instructing Video Diffusion Models with Human Feedback,"['Hangjie Yuan', 'Shiwei Zhang', 'Xiang Wang', 'Yujie Wei', 'Tao Feng', 'Yining Pan', 'Yingya Zhang', 'Ziwei Liu', 'Samuel Albanie', 'Dong Ni']","['Zhejiang University', 'Alibaba Group', 'Huazhong University of Science and Technology', 'Fudan University', 'Tsinghua University', 'Singapore University of Technology and Design', 'Alibaba Group', 'Nanyang Technological University', 'University of Cambridge', 'Zhejiang University']",December 2023
HDQMF: Holographic Feature Decomposition Using Quantum Algorithms,"['Prathyush Poduval', 'Zhuowen Zou', 'Mohsen Imani']","['University of California, Irvine', 'University of California, Irvine', 'University of California, Irvine']",Not Found
VideoCon: Robust Video-Language Alignment via Contrast Captions,"['Hritik Bansal', 'Yonatan Bitton', 'Idan Szpektor', 'Kai-Wei Chang', 'Aditya Grover']","['University of California, Los Angeles', 'Google', 'Google', 'University of California, Los Angeles', 'University of California, Los Angeles']",November 2023
Going Beyond Multi-Task Dense Prediction with Synergy Embedding Models,"['Huimin Huang', 'Yawen Huang', 'Lanfen Lin', 'Ruofeng Tong', 'Yen-Wei Chen', 'Hao Zheng', 'Yuexiang Li', 'Yefeng Zheng']","['Zhejiang University', None, 'Zhejiang University', None, 'Ritsumeikan University', 'Tencent', 'Tencent Jarvis Lab', None]",Not Found
BiPer: Binary Neural Networks using a Periodic Function,"['Edwin Vargas', 'Claudia Correa', 'Carlos Hinojosa', 'Henry Arguello']","['Universidad Industrial de Santander, Rice University', 'Universidad Industrial de Santander', 'KAUST', 'Universidad Industrial de Santander']",April 2024
ToonerGAN: Reinforcing GANs for Obfuscating Automated Facial Indexing,"['Kartik Thakral', 'Shashikant Prasad', 'Stuti Aswani', 'Mayank Vatsa', 'Richa Singh']","['IIT Jodhpur', 'Indian Institute of Technology, Jodhpur, Dhirubhai Ambani Institute Of Information and Communication Technology', 'Indian Institute of Technology, Jodhpur', 'IIT Jodhpur', 'IIT Jodhpur']",Not Found
UniBind: LLM-Augmented Unified and Balanced Representation Space to Bind Them All,"['Yuanhuiyi Lyu', 'Xu Zheng', 'Jiazhou Zhou', 'Addison, Lin Wang']","['Hong Kong University of Science and Technology (Guangzhou)', 'HKUST', 'Hong Kong University of Science and Technology', 'Hong Kong University of Science and Technology']",March 2024
