Title,Authors,Institutes,Submission Date
Human-Guided Fair Classification for Natural Language Processing,"['Florian E. Dorner', 'Momchil Peychev', 'Nikola Konstantinov', 'Naman Goel', 'Elliott Ash', 'Martin Vechev']","['Max Planck Institute for Intelligent Systems, Max-Planck Institute(tuebingen.mpg.de)', 'ETH Zurich(ethz.ch)', 'INSAIT,Sofia University ""St. Kliment Ohridski""(insait.ai)', 'University of Oxford(oxford.ac.uk)', 'Swiss Federal Institute of Technology(ethz.ch)', 'Computer Science,ETHZ - ETH Zurich(ethz.ch)']","20 December, 2022"
Humanly Certifying Superhuman Classifiers,"['Qiongkai Xu', 'Christian Walder', 'Chenchen Xu']","['Macquarie University(mq.edu.au)', 'Not Found', 'Amazon(amazon.com)']",September 2021
Few-Shot Domain Adaptation For End-to-End Communication,"['Jayaram Raghuram', 'Yijing Zeng', 'Dolores Garcia', 'Rafael Ruiz', 'Somesh Jha', 'Joerg Widmer', 'Suman Banerjee']","['AI,Reality Defender(realitydefender.com)', 'Meta(meta.com)', 'CERN(cern.ch)', 'Imdea Networks(imdea.org)', 'L and S,Department of Computer Science, University of Wisconsin, Madison(cs.wisc.edu)', 'n/a,IMDEA Networks(imdea.org)', 'Computer Sciences,UW-Madison(cs.wisc.edu)']","2 August, 2021"
Learning a Data-Driven Policy Network for Pre-Training Automated Feature Engineering,"['Liyao Li', 'Haobo Wang', 'Liangyu Zha', 'Qingyi Huang', 'Sai Wu', 'Gang Chen', 'Junbo Zhao']","['College of Computer Science and Technology,Zhejiang University(zju.edu.cn)', 'Zhejiang University(zju.edu.cn)', 'Huazhong University of Science and Technology(hust.edu.cn)', 'Taiyuan University of Technology(tyut.edu.cn)', 'Zhejiang University(zju.edu.cn)', 'College of Computer Science and Technology, Zhejiang University(cs.zju.edu.cn)', 'Zhejiang University(zju.edu.cn)']",Not Found
Learning Group Importance using the Differentiable Hypergeometric Distribution,"['Thomas M. Sutter', 'Laura Manduchi', 'Alain Ryser', 'Julia E Vogt']","['Computer Science,ETH Zurich(ethz.ch)', 'Apple(apple.com)', 'Computer Science,ETHZ - ETH Zurich(ethz.ch)', 'Computer Sience,Swiss Federal Institute of Technology(ethz.ch)']","3 March, 2022"
Concept-level Debugging of Part-Prototype Networks,"['Andrea Bontempelli', 'Stefano Teso', 'Katya Tentori', 'Fausto Giunchiglia', 'Andrea Passerini']","['Not Found', 'University of Trento(unitn.it)', 'Not Found', 'DISI,University of Trento(unitn.it)', 'University of Trento(unitn.it)']","31 May, 2022"
Neuroevolution is a Competitive Alternative to Reinforcement Learning for Skill Discovery,"['Felix Chalumeau', 'Raphael Boige', 'Bryan Lim', 'Valentin Macé', 'Maxime Allard', 'Arthur Flajolet', 'Antoine Cully', 'Thomas PIERROT']","['InstaDeep(instadeep.com)', 'INRIA(inria.fr)', 'Autodesk(autodesk.com)', 'InstaDeep(instadeep.com)', 'Department of Computing,Imperial College London, Imperial College London(imperial.ac.uk)', 'Not Found', 'Imperial College London(imperial.ac.uk)', 'InstaDeep(instadeep.com)']","6 October, 2022"
Implicit Bias in Leaky ReLU Networks Trained on High-Dimensional Data ,"['Spencer Frei', 'Gal Vardi', 'Peter Bartlett', 'Nathan Srebro', 'Wei Hu']","['DeepMind,Google(google.com)', 'Weizmann Institute of Science(weizmann.ac.il)', 'University of California - Berkeley', 'Toyota Technological Institute at Chicago(ttic.edu)', 'University of Michigan - Ann Arbor(umich.edu)']",October 2022
Guarded Policy Optimization with Imperfect Online Demonstrations,"['Zhenghai Xue', 'Zhenghao Peng', 'Quanyi Li', 'Zhihan Liu', 'Bolei Zhou']","['Not Found', 'University of California, Los Angeles(cs.ucla.edu)', 'oxa(oxa.tech)', 'Northwestern University(northwestern.edu)', 'Computer Science,University of California, Los Angeles(ucla.edu)']","3 March, 2023"
Learning with Logical Constraints but without Shortcut Satisfaction,"['Zenan Li', 'Zehua Liu', 'Yuan Yao', 'Jingwei Xu', 'Taolue Chen', 'Xiaoxing Ma', 'Jian L\\""{u}']","['Department of Computer Science, ETHZ - ETH Zurich(inf.ethz.ch)', 'Not Found', 'Nanjing University(nju.edu.cn)', 'School of Computer Science,Nanjing University(nju.edu.cn)', 'Not Found', 'Not Found', 'Not Found']",March 2024
Certified Training: Small Boxes are All You Need,"['Mark Niklas Mueller', 'Franziska Eckert', 'Marc Fischer', 'Martin Vechev']","['LogicStar AI(logicstar.ai)', 'Swiss Federal Institute of Technology(ethz.ch)', 'Snyk(snyk.io)', 'Computer Science,ETHZ - ETH Zurich(ethz.ch)']","10 October, 2022"
Multi-Objective Online Learning,"['Jiyan Jiang', 'Wenpeng Zhang', 'Shiji Zhou', 'Lihong Gu', 'Xiaodong Zeng', 'Wenwu Zhu']","['Tsinghua University(tsinghua.edu.cn)', 'Generative AI,ByteDance Inc.(bytedance.com)', 'Department of Artificial Intelligence,Beijing University of Aeronautics and Astronautics(buaa.edu.cn)', 'University of Electronic Science and Technology of China, Tsinghua University(uestc.edu.cn)', 'University of Macau(umac.mo)', 'Computer Science and Technology,Tsinghua University, Tsinghua University(tsinghua.edu.cn)']",September 2025
"Seeing Differently, Acting Similarly: Heterogeneously Observable Imitation Learning","['Xin-Qiang Cai', 'Yao-Xiang Ding', 'Zixuan Chen', 'Yuan Jiang', 'Masashi Sugiyama', 'Zhi-Hua Zhou']","['RIKEN(riken.jp)', 'State Key Laboratory of CAD & CG,Zhejiang University(zju.edu.cn)', 'Nanjing University(nju.edu.cn)', 'Nanjing University(nju.edu.cn)', 'Center for Advanced Intelligence Project,RIKEN(riken.jp)', 'School of Artificial Intelligence,Nanjing University(nju.edu.cn)']","17 June, 2021"
A Closer Look at Model Adaptation using Feature Distortion and Simplicity Bias,"['Puja Trivedi', 'Danai Koutra', 'Jayaraman J. Thiagarajan']","['Not Found', 'Not Found', 'Not Found']",March 2023
Understanding and Adopting Rational Behavior by Bellman Score Estimation,"['Kuno Kim', 'Stefano Ermon']","['Not Found', 'Not Found']",Not Found
STUNT: Few-shot Tabular Learning with Self-generated Tasks from Unlabeled Tables,"['Jaehyun Nam', 'Jihoon Tack', 'Kyungmin Lee', 'Hankook Lee', 'Jinwoo Shin']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",March 2023
Ask Me Anything: A simple strategy for prompting language models,"['Simran Arora', 'Avanika Narayan', 'Mayee F Chen', 'Laurel Orr', 'Neel Guha', 'Kush Bhatia', 'Ines Chami', 'Christopher Re']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","5 October, 2022"
On Representing Linear Programs by Graph Neural Networks,"['Ziang Chen', 'Jialin Liu', 'Xinshang Wang', 'Wotao Yin']","['Not Found', 'Not Found', 'Not Found', 'Not Found']","19 October, 2022"
Scale-invariant Bayesian Neural Networks with Connectivity Tangent Kernel,"['SungYub Kim', 'Sihwan Park', 'Kyung-Su Kim', 'Eunho Yang']","['Not Found', 'Not Found', 'Not Found', 'Not Found']",September 2022
Minimalistic Unsupervised Representation Learning with the Sparse Manifold Transform,"['Yubei Chen', 'Zeyu Yun', 'Yi Ma', 'Bruno Olshausen', 'Yann LeCun']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",Not Found
GEASS: Neural causal feature selection for high-dimensional biological data,"['Mingze Dong', 'Yuval Kluger']","['Not Found', 'Not Found']",Not Found
SmartFRZ: An Efficient Training Framework using Attention-Based Layer Freezing,"['Sheng Li', 'Geng Yuan', 'Yue Dai', 'Youtao Zhang', 'Yanzhi Wang', 'Xulong Tang']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",January 2024
The In-Sample Softmax for Offline Reinforcement Learning,"['Chenjun Xiao', 'Han Wang', 'Yangchen Pan', 'Adam White', 'Martha White']","['Not Found', 'Not Found', 'Not Found', 'Computing Science,University of Alberta(ualberta.ca)', 'University of Alberta(ualberta.ca)']","28 February, 2023"
Unsupervised Meta-learning via Few-shot Pseudo-supervised Contrastive Learning,"['Huiwon Jang', 'Hankook Lee', 'Jinwoo Shin']","['Korea Advanced Institute of Science and Technology(kaist.ac.kr)', 'Sungkyunkwan University(skku.edu)', 'Korea Advanced Institute of Science & Technology(kaist.ac.kr)']",March 2023
Guiding Energy-based Models via Contrastive Latent Variables,"['Hankook Lee', 'Jongheon Jeong', 'Sejun Park', 'Jinwoo Shin']","['Sungkyunkwan University(skku.edu)', 'Korea University(korea.ac.kr)', 'Korea University(korea.ac.kr)', 'Korea Advanced Institute of Science & Technology(kaist.ac.kr)']",March 2023
Implicit regularization in Heavy-ball momentum accelerated stochastic gradient descent,"['Avrajit Ghosh', 'He Lyu', 'Xitong Zhang', 'Rongrong Wang']","['EECS,University of California, Berkeley(berkeley.edu)', 'Facebook(meta.com)', 'Qualcomm Inc, QualComm(qti.qualcomm.com)', 'CMSE and Math,Michigan State University(msu.edu)']",February 2023
Real-time variational method for learning neural trajectory and its dynamics,"['Matthew Dowling', 'Yuan Zhao', 'Il Memming Park']","['State University of New York, Stony Brook(stonybrook.edu)', 'National Institute of Mental Health(nih.gov)', 'Champalimaud Centre for the Unknown(fchampalimaud.org)']",May 2023
Energy-Inspired Self-Supervised Pretraining for Vision Models,"['Ze Wang', 'Jiang Wang', 'Zicheng Liu', 'Qiang Qiu']","['Advanced Micro Devices(amd.com)', 'Azure,Microsoft(microsoft.com)', 'Advanced Micro Devices(amd.com)', 'ECE,Purdue University(purdue.edu)']",February 2023
Binding Language Models in Symbolic Languages,"['Zhoujun Cheng', 'Tianbao Xie', 'Peng Shi', 'Chengzu Li', 'Rahul Nadkarni', 'Yushi Hu', 'Caiming Xiong', 'Dragomir Radev', 'Mari Ostendorf', 'Luke Zettlemoyer', 'Noah A. Smith', 'Tao Yu']","['UC San Diego,UC San Diego(ucsd.edu)', 'University of Hong Kong(cs.hku.hk)', 'Amazon AWS(amazon.com)', 'University of Cambridge(cam.ac.uk)', 'Department of Computer Science & Engineering, University of Washington(cs.washington.edu)', 'University of Washington(uw.edu)', 'Salesforce Research(salesforce.com)', 'Yale University(yale.edu)', 'Electrical & Computer Engineering,University of Washington(u.washington.edu)', 'University of Washington(cs.washington.edu)', 'Computer Science & Engineering,University of Washington(washington.edu)', 'The University of Hong Kong(hku.hk)']","3 June, 2024"
"Evolve Smoothly, Fit Consistently: Learning Smooth Latent Dynamics For Advection-Dominated Systems","['Zhong Yi Wan', 'Leonardo Zepeda-Nunez', 'Anudhyan Boral', 'Fei Sha']","['Google(google.com)', 'Google(google.com)', 'Not Found', 'Google(google.com)']","24 January, 2023"
BC-IRL: Learning Generalizable Reward Functions from Demonstrations,"['Andrew Szot', 'Amy Zhang', 'Dhruv Batra', 'Zsolt Kira', 'Franziska Meier']","['Georgia Institute of Technology(gatech.edu)', 'University of Texas at Austin(utexas.edu)', 'Georgia Institute of Technology(gatech.edu)', 'School of Interactive Computing,Georgia Institute of Technology(gatech.edu)', 'Not Found']",March 2023
Phase2vec: dynamical systems embedding with a physics-informed convolutional network,"['Matt Ricci', 'Noa Moriel', 'Zoe Piran', 'Mor Nitzan']","['Faculté de Santé,Université Paris Cité(u-paris.fr)', 'Not Found', 'Genentech(gene.com)', 'Hebrew University of Jerusalem(huji.ac.il)']","7 December, 2022"
gDDIM: Generalized denoising diffusion implicit models,"['Qinsheng Zhang', 'Molei Tao', 'Yongxin Chen']","['NVIDIA(nvidia.com)', 'Georgia Institute of Technology(gatech.edu)', 'NVIDIA(nvidia.com)']","11 June, 2022"
FedExP: Speeding Up Federated Averaging via Extrapolation,"['Divyansh Jhunjhunwala', 'Shiqiang Wang', 'Gauri Joshi']","['Carnegie Mellon University(cmu.edu)', 'Dept. of Computer Science,University of Exeter(exeter.ac.uk)', 'Not Found']","23 January, 2023"
Serving Graph Compression for Graph Neural Networks,"['Si Si', 'Felix Yu', 'Ankit Singh Rawat', 'Cho-Jui Hsieh', 'Sanjiv Kumar']","['Google(google.com)', 'Google(google.com)', 'Google(google.com)', 'Google(google.com)', 'Google(google.com)']",Not Found
"Learning MLPs on Graphs: A Unified View of Effectiveness, Robustness, and Efficiency","['Yijun Tian', 'Chuxu Zhang', 'Zhichun Guo', 'Xiangliang Zhang', 'Nitesh Chawla']","['Amazon(amazon.com)', 'Not Found', 'Not Found', 'University of Notre Dame(nd.edu)', 'Computer Science & Engineering,University of Notre Dame(nd.edu)']",Not Found
