Title,Authors,Institutes,Submission Date
How new data permeates LLM knowledge and how to dilute it,"['Chen Sun', 'Renat Aksitov', 'Andrey Zhmoginov', 'Nolan Andrew Miller', 'Max Vladymyrov', 'Ulrich Rueckert', 'Been Kim', 'Mark Sandler']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",April 2025
UniCBE: An Uniformity-driven Comparing Based Evaluation Framework with Unified Multi-Objective Optimization,"['Peiwen Yuan', 'Shaoxiong Feng', 'Yiwei Li', 'Xinglin Wang', 'Yueqi Zhang', 'Jiayi Shi', 'Chuyi Tan', 'Boyuan Pan', 'Yao Hu', 'Kan Li']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",February 2025
NetMoE: Accelerating MoE Training through Dynamic Sample Placement,"['Xinyi Liu', 'Yujie Wang', 'Fangcheng Fu', 'Xupeng Miao', 'Shenhan Zhu', 'Xiaonan Nie', 'Bin CUI']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",Not Found
TabReD: Analyzing Pitfalls and Filling the Gaps in Tabular Deep Learning Benchmarks,"['Ivan Rubachev', 'Nikolay Kartashev', 'Yury Gorishniy', 'Artem Babenko']","['Not Found', 'Not Found', 'Not Found', 'Not Found']","27 June, 2024"
Improving the Sparse Structure Learning of Spiking Neural Networks from the View of Compression Efficiency,"['Jiangrong Shen', 'Qi Xu', 'Gang Pan', 'Badong Chen']","['Not Found', 'Not Found', 'Not Found', 'Not Found']",February 2025
JudgeLM: Fine-tuned Large Language Models are Scalable Judges,"['Lianghui Zhu', 'Xinggang Wang', 'Xinlong Wang']","['Not Found', 'Not Found', 'Not Found']","26 October, 2023"
Direct Post-Training Preference Alignment for Multi-Agent Motion Generation Model Using Implicit Feedback from Pre-training Demonstrations,"['Thomas Tian', 'Kratarth Goel']","['Not Found', 'Not Found']",March 2025
Online Preference Alignment for Language Models via Count-based Exploration,"['Chenjia Bai', 'Yang Zhang', 'Shuang Qiu', 'Qiaosheng Zhang', 'Kang Xu', 'Xuelong Li']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","22 January, 2025"
Internet of Agents: Weaving a Web of Heterogeneous Agents for Collaborative Intelligence,"['Weize Chen', 'Ziming You', 'Ran Li', 'yitong guan', 'Chen Qian', 'Chenyang Zhao', 'Cheng Yang', 'Ruobing Xie', 'Zhiyuan Liu', 'Maosong Sun']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","9 July, 2024"
Rewarding Progress: Scaling Automated Process Verifiers for LLM Reasoning,"['Amrith Setlur', 'Chirag Nagpal', 'Adam Fisch', 'Xinyang Geng', 'Jacob Eisenstein', 'Rishabh Agarwal', 'Alekh Agarwal', 'Jonathan Berant', 'Aviral Kumar']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",October 2024
MQuAKE-Remastered: Multi-Hop Knowledge Editing Can Only Be Advanced with Reliable Evaluations,"['Shaochen Zhong', 'Yifan Lu', 'Lize Shao', 'Bhargav Bhushanam', 'Xiaocong Du', 'Yixin Wan', 'Yucheng Shi', 'Daochen Zha', 'Yiwei Wang', 'Ninghao Liu', 'Kaixiong Zhou', 'Shuai Xu', 'Kai-Wei Chang', 'Louis Feng', 'Vipin Chaudhary', 'Xia Hu']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",Not Found
Competition Dynamics Shape Algorithmic Phases of In-Context Learning,"['Core Francisco Park', 'Ekdeep Singh Lubana', 'Hidenori Tanaka']","['Not Found', 'Not Found', 'Not Found']","1 December, 2024"
In vivo cell-type and brain region classification via multimodal contrastive learning,"['Han Yu', 'Hanrui Lyu', 'YiXun Xu', 'Charlie Windolf', 'Eric Kenji Lee', 'Fan Yang', 'Andrew M Shelton', 'Olivier Winter', 'International Brain Laboratory', 'Eva L Dyer', 'Chandramouli Chandrasekaran', 'Nicholas A. Steinmetz', 'Liam Paninski', 'Cole Lincoln Hurwitz']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Allen Institute for Brain Science(alleninstitute.org)', 'IBL,Champalimaud Foundation(research.fchampalimaud.org)', 'University College London, University of London(ucl.ac.uk)', 'Computer and Information Science,University of Pennsylvania, University of Pennsylvania(seas.upenn.edu)', 'Boston University(bu.edu)', 'Stanford University(stanford.edu)', 'Columbia University(columbia.edu)', 'Columbia University(columbia.edu)']",Not Found
"Physics of Language Models: Part 3.3, Knowledge Capacity Scaling Laws","['Zeyuan Allen-Zhu', 'Yuanzhi Li']","['Not Found', 'CMU, Carnegie Mellon University(andrew.cmu.edu)']",April 2024
Scalable Decision-Making in Stochastic Environments through Learned Temporal Abstraction,"['Baiting Luo', 'Ava Pettet', 'Aron Laszka', 'Abhishek Dubey', 'Ayan Mukhopadhyay']","['Vanderbilt University(vanderbilt.edu)', 'Vanderbilt University(vanderbilt.edu)', 'Pennsylvania State University(psu.edu)', 'Vanderbilt University(vanderbilt.edu)', 'Vanderbilt University(vanderbilt.edu)']","28 February, 2025"
Modeling Complex System Dynamics with Flow Matching Across Time and Conditions,"['Martin Rohbeck', 'Edward De Brouwer', 'Charlotte Bunne', 'Jan-Christian Huetter', 'Anne Biton', 'Kelvin Y. Chen', 'Aviv Regev', 'Romain Lopez']","['Deutsches Krebsforschungszentrum(dkfz.de)', 'Genentech(gene.com)', 'EPFL - EPF Lausanne(epfl.ch)', 'Genentech(gene.com)', 'Genentech(gene.com)', 'IFReC,Osaka University(osaka-u.ac.jp)', 'Research and Early Development,Genentech / Roche(gene.com)', 'New York University(nyu.edu)']",Not Found
Joint Reward and Policy Learning with Demonstrations and Human Feedback Improves Alignment,"['Chenliang Li', 'Siliang Zeng', 'Zeyi Liao', 'Jiaxiang Li', 'Dongyeop Kang', 'Alfredo Garcia', 'Mingyi Hong']","['Texas A&M University - College Station(tamu.edu)', 'Department of Electrical and Computer Engineering,University of Minnesota, Twin Cities(umn.edu)', 'CSE,Ohio State University, Columbus(osu.edu)', 'Facebook(meta.com)', 'University of Minnesota(umn.edu)', 'Industrial and Systems,Texas A&M University - College Station(tamu.edu)', 'AGI,Amazon(amazon.com)']",Not Found
Counterfactual Realizability,"['Arvind Raghavan', 'Elias Bareinboim']","['Computer Science,Columbia University(columbia.edu)', 'Columbia University(columbia.edu)']",March 2025
Robustness Reprogramming for Representation Learning,"['Zhichao Hou', 'MohamadAli Torkamani', 'Hamid Krim', 'Xiaorui Liu']","['Computer Science,North Carolina State University(ncsu.edu)', 'AWS AI(amazon.com)', 'ECE,North Carolina State University(ncsu.edu)', 'Computer Science,North Carolina State University(ncsu.edu)']",October 2024
