Title,Authors,Institutes,Submission Date
Taming graph kernels with random features,['Krzysztof Marcin Choromanski'],['Google Brain Robotics & Columbia University(columbia.edu)'],May 2023
Bayesian Design Principles for Frequentist Sequential Learning,"['Yunbei Xu', 'assaf zeevi']","['National University of Singapore(nus.edu.sg)', 'Columbia University(columbia.edu)']","1 October, 2023"
Pix2Struct: Screenshot Parsing as Pretraining for Visual Language Understanding,"['Kenton Lee', 'Mandar Joshi', 'Iulia Raluca Turc', 'Hexiang Hu', 'Fangyu Liu', 'Julian Martin Eisenschlos', 'Urvashi Khandelwal', 'Peter Shaw', 'Ming-Wei Chang', 'Kristina Toutanova']","['Google Research(google.com)', 'Google DeepMind(google.com)', 'University of Oxford(ox.ac.uk)', 'Not Found', 'Google DeepMind(google.com)', 'Google DeepMind(google.com)', 'Google(google.com)', 'Google DeepMind(google.com)', 'Google Deepmind(google.com)', 'INSAIT(insait.ai)']","7 October, 2022"
JAWS-X: Addressing Efficiency Bottlenecks of Conformal Prediction Under Standard and Feedback Covariate Shift,"['Drew Prinster', 'Suchi Saria', 'Anqi Liu']","['Johns Hopkins University(johnshopkins.edu)', 'Johns Hopkins University( )', 'Computer Science,Johns Hopkins University(jhu.edu)']",Not Found
Provably Learning Object-Centric Representations,"['Jack Brady', 'Roland S. Zimmermann', 'Yash Sharma', 'Bernhard Schölkopf', 'Julius von Kügelgen', 'Wieland Brendel']","['Intelligent Systems,Max-Planck Institute(mpg.de)', 'Google DeepMind(google.com)', 'Centre for Integrative Neuroscience, AG Bethge(bethgelab.org)', 'Not Found', 'Mathematics,ETHZ - ETH Zurich(ethz.ch)', 'ELLIS Institute Tübingen(tue.ellis.eu)']",May 2023
H-Likelihood Approach to Deep Neural Networks  with Temporal-Spatial Random Effects for High-Cardinality Categorical Features,"['Hangbin Lee', 'Youngjo Lee']","['Chungnam National University(cnu.ac.kr)', 'Department of Statistics,Seoul National University(snu.ac.kr)']",Not Found
Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies,"['Gati Aher', 'Rosa I. Arriaga', 'Adam Tauman Kalai']","['Not Found', 'interactive computing,Georgia Institute of Technology(gatech.edu)', 'Not Found']","18 August, 2022"
Tractable Control for Autoregressive Language Generation,"['Honghua Zhang', 'Meihua Dang', 'Nanyun Peng', 'Guy Van den Broeck']","['University of California, Los Angeles(cs.ucla.edu)', 'Stanford University(stanford.edu)', 'Computer Science,University of California, Los Angeles(ucla.edu)', 'University of California, Los Angeles(ucla.edu)']","14 April, 2023"
Self-Repellent Random Walks on General Graphs - Achieving Minimal Sampling Variance via Nonlinear Markov Chains,"['Vishwaraj Doshi', 'Jie Hu', 'Do Young Eun']","['Not Found', 'Department of Computer Science and Engineering,Oakland University(oakland.edu)', 'North Carolina State University(ncsu.edu)']","8 May, 2023"
Active Ranking of Experts Based on their Performances in Many Tasks,"['El Mehdi Saad', 'Nicolas Verzelen', 'Alexandra Carpentier']","['King Abdullah University of Science and Technology(kaust.edu.sa)', 'Not Found', 'OvGU Magdeburg(ovgu.de)']",June 2023
