Title,Authors,Institutes,Submission Date
Going beyond persistent homology using persistent homology,"['Johanna Emilia Immonen', 'Amauri H Souza', 'Vikas Garg']","['Not Found', 'Federal Institute of Ceará(ifce.edu.br)', 'Not Found']",November 2023
Optimal Learners for Realizable Regression: PAC Learning and Online Learning,"['Idan Attias', 'Steve Hanneke', 'Alkis Kalavasis', 'Amin Karbasi', 'Grigoris Velegkas']","['University of Illinois at Chicago(uic.edu)', 'Computer Science,Purdue University(purdue.edu)', 'Yale University(yale.edu)', 'Cisco(cisco.com)', 'Computer Science,Yale University(yale.edu)']","7 July, 2023"
When Demonstrations meet Generative World Models: A Maximum Likelihood Framework for Offline Inverse Reinforcement Learning,"['Siliang Zeng', 'Chenliang Li', 'Alfredo Garcia', 'Mingyi Hong']","['Department of Electrical and Computer Engineering,University of Minnesota, Twin Cities(umn.edu)', 'Texas A&M University - College Station(tamu.edu)', 'Industrial and Systems,Texas A&M University - College Station(tamu.edu)', 'AGI,Amazon(amazon.com)']","14 February, 2023"
Bridging RL Theory and Practice with the Effective Horizon,"['Cassidy Laidlaw', 'Stuart Russell', 'Anca Dragan']","['Electrical Engineering and Computer Science,University of California Berkeley(berkeley.edu)', 'EECS,University of California Berkeley(berkeley.edu)', 'University of California Berkeley(berkeley.edu)']","19 April, 2023"
Students Parrot Their Teachers: Membership Inference on Model Distillation,"['Matthew Jagielski', 'Milad Nasr', 'Katherine Lee', 'Christopher A. Choquette-Choo', 'Nicholas Carlini', 'Florian Tramèr']","['Anthropic(anthropic.com)', 'OpenAI(openai.com)', 'Google(google.com)', 'Google DeepMind(google.com)', 'Anthropic(anthropic.com)', 'ETHZ - ETH Zurich(ethz.ch)']",March 2023
Human-like Few-Shot Learning via Bayesian Reasoning over Natural Language,['Kevin Ellis'],['Cornell University(cornell.edu)'],"5 June, 2023"
Siamese Masked Autoencoders,"['Agrim Gupta', 'Jiajun Wu', 'Jia Deng', 'Li Fei-Fei']","['Stanford University(stanford.edu)', 'Stanford University(stanford.edu)', 'Department of Computer Science,Princeton University(princeton.edu)', 'Computer Science,Stanford University(stanford.edu)']","26 March, 2024"
Sampling from Gaussian Process Posteriors using Stochastic Gradient Descent,"['Jihao Andreas Lin', 'Javier Antoran', 'Shreyas Padhy', 'David Janz', 'José Miguel Hernández-Lobato', 'Alexander Terenin']","['University of Cambridge(cam.ac.uk)', 'University of Cambridge(cam.ac.uk)', 'University of Cambridge(cam.ac.uk)', 'University of Alberta(ualberta.ca)', 'Department of Engineering,University of Cambridge(cam.ac.uk)', 'Cornell University(cornell.edu)']","20 June, 2023"
Sharpness Minimization Algorithms Do Not Only Minimize Sharpness To Achieve Better Generalization,"['Kaiyue Wen', 'Zhiyuan Li', 'Tengyu Ma']","['Stanford University(stanford.edu)', 'Toyota Technological Institute at Chicago(ttic.edu)', 'Stanford University(stanford.edu)']","20 July, 2023"
EgoEnv: Human-centric environment representations from egocentric video,"['Tushar Nagarajan', 'Santhosh Kumar Ramakrishnan', 'Ruta Desai', 'James Hillis', 'Kristen Grauman']","['FAIR(meta.com)', 'Apple(apple.com)', 'Meta, FAIR(meta.com)', 'Facebook(facebook.com)', 'FAIR,FAIR, Meta(meta.com)']","22 July, 2022"
A U-turn on Double Descent: Rethinking Parameter Counting in Statistical Learning,"['Alicia Curth', 'Alan Jeffares', 'Mihaela van der Schaar']","['Microsoft Research(microsoft.com)', 'University of Cambridge(cam.ac.uk)', 'University of Cambridge(cam.ac.uk)']",October 2023
