name,country
"Computer Science and Engineering,Bangladesh University of Engineering and Technology(buet.ac.bd)",Bangladesh
"Computer Science and Engineering,Indian Institute of Technology, Delhi(iitd.ac.in)",India
"Computer Science and Engineering,Michigan State University(msu.edu)",USA
"Computer Science and Engineering,Texas A&M University - College Station(tamu.edu)",USA
"Computer Science and Engineering,University of California, San Diego(ucsd.edu)",USA
"Computer Science and Engineering,University of California, Santa Cruz(ucsc.edu)",USA
"Computer Science and Engineering,University of Michigan - Ann Arbor(umich.edu)",USA
"Computer Science and Engineering,University of Minnesota - Twin Cities(umn.edu)",USA
"Computer Science and Engineering,University of Notre Dame(nd.edu)",USA
"Computer Science and Engineering,University of South Florida(usf.edu)",USA
"Computer Science and Information Engineering,Hefei University of Technology(hfut.edu.cn)",China
"Computer Science and Linguistics,McGill University, McGill University(mail.mcgill.ca)",Canada
"Computer Science and Technology,Nanjing University(nju.edu.cn)",China
"Computer Science and Technology,Tsinghua University(mail.tsinghua.edu.cn)",China
"Computer Science and Technology,Tsinghua University, Tsinghua University(tsinghua.edu.cn)",China
"Computer Science and Technology,University of Cambridge(cam.ac.uk)",United Kingdom
"Computer Science and Technology,Zhejiang University(zju.edu.cn)",China
"Computer Science, Colorado School of Mines",USA
"Computer Science, Rice University",USA
"Computer Science,Arizona State University(asu.edu)",USA
"Computer Science,Carnegie Mellon University(cmu.edu)",USA
"Computer Science,Columbia University(columbia.edu)",USA
"Computer Science,Computer Science Department, Stanford University(cs.stanford.edu)",USA
"Computer Science,Computer Science, Tsinghua University(mails.tsinghua.edu.cn)",China
"Computer Science,Cornell University(cornell.edu)",USA
"Computer Science,Dalhousie University(dal.ca)",Canada
"Computer Science,Dalhousie University(dal.edu)",USA
"Computer Science,Dartmouth College(dartmouth.edu)",USA
"Computer Science,Department of Computer Science(cs.illinois.edu)",USA
"Computer Science,Duke University(duke.edu)",USA
"Computer Science,EPFL - EPF Lausanne(epfl.ch)",Switzerland
"Computer Science,Eberhard-Karls-Universität Tübingen(uni-tuebingen.de)",Germany
"Computer Science,Fudan University(fudan.edu.cn)",China
"Computer Science,Harvard University(college.harvard.edu)",USA
"Computer Science,Harvard University(g.harvard.edu)",USA
"Computer Science,Hong Kong University of Science and Technology(ust.hk)",Hong Kong
"Computer Science,Johns Hopkins University(johnshopkins.edu)",USA
"Computer Science,King Abdullah University of Science and Technology(kaust.edu.sa)",Saudi Arabia
"Computer Science,National University of Singapore(nus.edu.sg)",Singapore
"Computer Science,New York University(nyu.edu)",USA
"Computer Science,North Carolina State University(ncsu.edu)",USA
"Computer Science,Princeton University(princeton.edu)",USA
"Computer Science,Purdue University(purdue.edu)",USA
"Computer Science,Rheinisch Westfälische Technische Hochschule Aachen(rwth-aachen.de)",Germany
"Computer Science,Shanghai Jiaotong University(sjtu.edu.cn)",China
"Computer Science,Stanford University(stanford.edu)",USA
"Computer Science,Technische Universität München(tum.de)",Germany
"Computer Science,The Hong Kong University of Science and Technology(ust.hk)",Hong Kong
"Computer Science,Toronto University(utoronto.ca)",Canada
"Computer Science,Tsinghua University(mails.tsinghua.edu.cn)",China
"Computer Science,Tufts University(tufts.edu)",USA
"Computer Science,Tulane University(tulane.edu)",USA
"Computer Science,UC Santa Barbara(ucsb.edu)",USA
"Computer Science,University College London, University of London(ucl.ac.uk)",United Kingdom
"Computer Science,University of Arizona(arizona.edu)",USA
"Computer Science,University of California, Berkeley(berkeley.edu)",USA
"Computer Science,University of California, Irvine(uci.edu)",USA
"Computer Science,University of California, Los Angeles(ucla.edu)",USA
"Computer Science,University of California, San Diego(ucsd.edu)",USA
"Computer Science,University of California, Santa Barbara(ucsb.edu)",USA
"Computer Science,University of Cambridge(cam.ac.uk)",United Kingdom
"Computer Science,University of Chicago(uchicago.edu)",USA
"Computer Science,University of Hong Kong(hku.hk)",Hong Kong
"Computer Science,University of Illinois Chicago(uic.edu)",USA
"Computer Science,University of Illinois Urbana-Champaign(illinois.edu)",USA
"Computer Science,University of Illinois at Chicago(uic.edu)",USA
"Computer Science,University of Illinois at Urbana-Champaign(illinois.edu)",USA
"Computer Science,University of Illinois, Chicago(uic.edu)",USA
"Computer Science,University of Illinois, Urbana Champaign(illinois.edu)",USA
"Computer Science,University of Maryland, College Park(umd.edu)",USA
"Computer Science,University of Massachusetts Lowell(uml.edu)",USA
"Computer Science,University of North Carolina at Chapel Hill(unc.edu)",USA
"Computer Science,University of Science and Technology of China(ustc.edu.cn)",China
"Computer Science,University of Southern California(usc.edu)",USA
"Computer Science,University of Toronto(utoronto.ca)",Canada
"Computer Science,University of Warwick(warwick.ac.uk)",United Kingdom
"Computer Science,Vanderbilt University(vanderbilt.edu)",USA
"Computer Science,Yale University(yale.edu)",USA
"Computer Science,Zhejiang University(zju.edu.cn)",China
"Computer Sciences,University of Wisconsin - Madison(wisc.edu)",USA
"Computer Vision,Mohamed bin Zayed University of Artificial Intelligence(mbzuai.ac.ae)",UAE
"Computer and Information Science,University of Pennsylvania(cis.upenn.edu)",USA
"Computer and Information Science,University of Pennsylvania, University of Pennsylvania(upenn.edu)",USA
"Computer science and Technology,Zhejiang University(zju.edu.cn)",China
"Computer science and engineering,Indian Institute of Technology Bombay, Indian Institute of Technology, Bombay(cse.iitb.ac.in)",India
"Computer science,City University of Hong Kong(cityu.edu.hk)",Hong Kong
"Computer science,University College London, University of London(ucl.ac.uk)",United Kingdom
"Computer science,Vanderbilt University(vanderbilt.edu)",USA
"Computer science,Yale University(yale.edu)",USA
"Computing & LSGI,The Hong Kong Polytechnic University(polyu.edu.hk)",Hong Kong
"Computing Division,UK Atomic Energy Authority(ukaea.uk)",United Kingdom
"Computing Sciences,Bocconi University(unibocconi.it)",Italy
"Computing and Data Sciences,Boston University, Boston University(bu.edu)",USA
"Computing and Mathematical Sciences,California Institute of Technology(caltech.edu)",USA
Concordia University,Canada
Convergence AI(convergence.ai),South Korea
Cornell University,USA
Cornell University(cornell.edu),USA
"Courant Institute of Mathematical Sciences,New York University(nyu.edu)",USA
"Courant Institute of Mathematics,New York University(nyu.edu)",USA
